ICAO Code,IATA Code,Airport Name,City/Town,Country
FCOI,ION,Impfondo,Impfondo,Congo
FCOM,MKJ,Makoua,Makoua,Congo
FCOO,FTX,Owando,Owando,Congo
FCOU,OUE,Ouesso,Ouesso,Congo
FCPA,KMK,Makabana,Makabana,Congo
FCPD,DIS,Dolisie,Loudima,Congo
FCPP,PNR,Pointe Noire,Pointe-Noire,Congo
FDMS,MTS,Matsapha,Manzini,Swaziland
FEFF,BGF,Bangui M Poko,Bangui,Central African Rep.
FEFG,BGU,Bangassou,Bangassou,Central African Rep.
FEFI,IRO,Birao,Birao,Central African Rep.
FEFM,BBY,Bambari,Bambari,Central African Rep.
FEFN,NDL,Ndele,N'Dele,Central African Rep.
FEFO,BOP,Bouar,Bouar,Central African Rep.
FEFR,BIV,Bria,Bria,Central African Rep.
FEFT,BBT,Berberati,Berberati,Central African Rep.
FEFY,AIG,Yalinga,Yalinga,Central African Rep.
FGBT,BSG,Bata,Bata,Equatorial Guinea
FGSL,SSG,Malabo,Malabo,Equatorial Guinea
FIMP,MRU,Sir Seewoosagur Ramgoolam International,Plaisance,Mauritius
FIMR,RRG,Plaine Corail,Rodriguez Island,Mauritius
FKKC,TKC,Tiko,Tiko,Cameroon
FKKD,DLA,Douala,Douala,Cameroon
FKKI,OUR,Batouri,Batouri,Cameroon
FKKL,MVR,Maroua Salak,Maroua,Cameroon
FKKM,FOM,Foumban Nkounja,Foumban,Cameroon
FKKN,NGE,Ngaoundere,N'Gaoundere,Cameroon
FKKR,GOU,Garoua,Garoua,Cameroon
FKKU,BFX,Bafoussam,Bafoussam,Cameroon
FKKV,BPC,Bamenda,Bamenda,Cameroon
FKKY,YAO,Yaounde,Yaounde,Cameroon
FLLI,LVI,Livingstone,Livingstone,Zambia
FLLS,LUN,Lusaka International,Lusaka,Zambia
FLMF,MFU,Mfuwe,Mfuwe,Zambia
FLND,NLA,Ndola,Ndola,Zambia
FLSO,KIW,Southdowns,Southdowns,Zambia
FMCH,HAH,Moroni Hahaia,Moroni,Comoros Islands
FMCI,NWA,Moheli Bandar Es Salam,Moheli,Comoros Islands
FMCN,YVA,Moroni Iconi,Moroni,Comoros Islands
FMCV,AJN,Anjouan Ouani,Anjouan,Comoros Islands
FMCZ,DZA,Dzaoudzi Pamanzi,Dzaoudzi,Mayotte Island
FMEE,RUN,St Denis Gillot,St.-Denis,Reunion Island
FMEP,ZSE,St Pierre Pierrefonds,St.-Pierre,Reunion Island
FMMI,TNR,Antananarivo Ivato,Antananarivo,Madagascar
FMMN,ZVA,Miandrivazo,Miandrivazo,Madagascar
FMMS,SMS,Sainte Marie,Sainte Marie,Madagascar
FMMT,TMM,Toamasina,Toamasina,Madagascar
FMMV,MOQ,Morondava,Morondava,Madagascar
FMNA,DIE,Antsiranana Arrachart,Antsiranana,Madagascar
FMNC,WMR,Mananara Avaratra,Mananara,Madagascar
FMND,ZWA,Andapa,Andapa,Madagascar
FMNE,AMB,Ambilobe Mahavavy,Ambilobe,Madagascar
FMNH,ANM,Antalaha Antsirabato,Antalaha,Madagascar
FMNL,HVA,Analalava,Analalava,Madagascar
FMNM,MJN,Mahajanga Philibert Tsiranana,Mahajanga,Madagascar
FMNN,NOS,Nosy Be Fascene,Nosy-Be,Madagascar
FMNQ,BPY,Besalampy,Besalampy,Madagascar
FMNR,WMN,Maroantsetra,Maroantsetra,Madagascar
FMNS,SVB,Sambava Sud,Sambava,Madagascar
FMNV,VOH,Vohimarina,Vohemar,Madagascar
FMNW,WAI,Antsohihy Ambalabe,Antsohihy,Madagascar
FMSD,FTU,Tolagnaro,Tolagnaro,Madagascar
FMSF,WFI,Fianarantsoa,Fianarantsoa,Madagascar
FMSG,RVA,Farafangana,Farafangana,Madagascar
FMSK,WVK,Manakara Sud,Manakara,Madagascar
FMSM,MNJ,Mananjary,Mananjary,Madagascar
FMSR,MXM,Morombe,Morombe,Madagascar
FMST,TLE,Toliara,Toliara,Madagascar
FNBC,SSY,Mbanza Congo,M'Banza-Congo,Angola
FNBG,BUG,Benguela,Benguela,Angola
FNCA,CAB,Cabinda,Cabinda,Angola
FNCH,PGI,Chitato,Chitato,Angola
FNCZ,CAV,Cazombo,Cazombo,Angola
FNGI,NGV,Ngiva,N'Giva,Angola
FNHU,NOV,Huambo,Huambo,Angola
FNKU,SVP,Kuito,Kuito,Angola
FNLU,LAD,Luanda 4 De Fevereiro,Luanda,Angola
FNMA,MEG,Malanje,Malanje,Angola
FNME,SPP,Menongue,Menongue,Angola
FNNG,GXG,Negage,Negage,Angola
FNPA,PBN,Porto Amboim,Porto Amboim,Angola
FNSA,VHC,Saurimo,Saurimo,Angola
FNSO,SZA,Soyo,Soyo,Angola
FNUE,LUO,Luena,Luena,Angola
FNUG,UGO,Uige,Uige,Angola
FNXA,XGN,Xangongo,Xangongo,Angola
FOGO,OYE,Oyem,Oyem,Gabon
FOGQ,OKN,Okondja,Okondja,Gabon
FOGR,LBQ,Lambarene,Lambarene,Gabon
FOOB,BMM,Bitam,Bitam,Gabon
FOOD,MFF,Moanda,Moanda,Gabon
FOOG,POG,Port Gentil,Port Gentil,Gabon
FOOH,OMB,Omboue Hopital,Omboue Hospial,Gabon
FOOK,MKU,Makokou,Makokou,Gabon
FOOL,LBV,Libreville Leon M Ba,Libreville,Gabon
FOOM,MZC,Mitzic,Mitzic,Gabon
FOON,MVB,Franceville Mvengue,Franceville,Gabon
FOOR,LTL,Lastourville,Lastourville,Gabon
FOOT,TCH,Tchibanga,Tchibanga,Gabon
FPPR,PCP,Principe,Principe,Sao Tome & Principe
FPST,TMS,Sao Tome International,Sao Tome,Sao Tome & Principe
FQBR,BEW,Beira,Beira,Mozambique
FQCB,FXO,Cuamba,Cuamba,Mozambique
FQIN,INH,Inhambane,Inhambane,Mozambique
FQLC,VXC,Lichinga,Lichinga,Mozambique
FQMA,MPM,Maputo,Maputo,Mozambique
FQMP,MZB,Mocimboa Da Praia,Mocimboa Da Praia,Mozambique
FQNC,MNC,Nacala,Nacala,Mozambique
FQNP,APL,Nampula,Nampula,Mozambique
FQPB,POL,Pemba,Pemba,Mozambique
FQQL,UEL,Quelimane,Quelimane,Mozambique
FQTT,TET,Tete Chingozi,Tete,Mozambique
FQVL,VNX,Vilankulo,Vilankulu,Mozambique
FSDR,DES,Desroches,Desroches,Seychelles
FSIA,SEZ,Seychelles International,Mahe,Seychelles
FSPP,PRI,Praslin,Praslin,Seychelles
FTTA,SRH,Sarh,Sarh,Chad
FTTC,AEH,Abeche,Abeche,Chad
FTTD,MQQ,Moundou,Moundou,Chad
FTTJ,NDJ,Ndjamena,N'Djamena,Chad
FTTP,PLF,Pala,Pala,Chad
FTTY,FYT,Faya Largeau,Faya-Largeau,Chad
FVBU,BUQ,Joshua Mqabuko Nkomo International,Bulawayo,Zimbabwe
FVCZ,BFO,Chiredzi Buffalo Range,Chiredzi,Zimbabwe
FVFA,VFA,Victoria Falls International,Victoria Falls,Zimbabwe
FVGR,UTA,Mutare Grand Reef,Mutare,Zimbabwe
FVHA,HRE,Harare International,Harare,Zimbabwe
FVKB,KAB,Kariba International,Kariba,Zimbabwe
FVMV,MVZ,Masvingo,Masvingo,Zimbabwe
FVTL,GWE,Gweru Thornhill,Gwert,Zimbabwe
FVWN,WKM,Hwange National Park,Hwange National Park,Zimbabwe
FWCL,BLZ,Chileka International,Blantyre,Malawi
FWKA,KGJ,Karonga,Karonga,Malawi
FWUU,ZZU,Mzuzu,Mzuzu,Malawi
FXMM,MSU,Moshoeshoe I International,Maseru,Lesotho
FZAA,FIH,Kinshasa Ndjili International,Kinshasa,Zaire
FZAB,NLO,Kinshasa Ndolo,Kinshasa,Zaire
FZAG,MNB,Muanda,Muanda,Zaire
FZAM,MAT,Matadi Tshimpi,Matadi,Zaire
FZBO,FDU,Bandundu,Bandoundu,Zaire
FZCA,KKW,Kikwit,Kikwit,Zaire
FZEA,MDK,Mbandaka,Mbandaka,Zaire
FZFD,BDT,Gbadolite,Gbadolite,Zaire
FZFK,GMA,Gemena,Gemena,Zaire
FZGA,LIQ,Lisala,Lisala,Zaire
FZIA,FKI,Kisangani Simisini,Kisangani,Zaire
FZJH,IRP,Isiro Matari,Isiro,Zaire
FZKA,BUX,Bunia,Bunia,Zaire
FZMA,BKY,Bukavu Kavumu,Bukavu/Kavumu,Zaire
FZNA,GOM,Goma,Goma,Zaire
FZOA,KND,Kindu,Kindu,Zaire
FZQA,FBM,Lubumbashi International,Lubumashi,Zaire
FZQM,KWZ,Kolwezi,Kolwezi,Zaire
FZRF,FMI,Kalemie,Kalemie,Zaire
FZSA,KMN,Kamina Base,Kamina Base,Zaire
FZUA,KGA,Kananga,Kananga,Zaire
FZWA,MJM,Mbuji Mayi,Mbuji-Mayi,Zaire
GABS,BKO,Bamako Senou,Bamako,Mali
GAGO,GAQ,Gao,Gao,Mali
GAKY,KYS,Kayes,Kayes,Mali
GAMB,MZI,Mopti Ambodedjo,Mopti,Mali
GANR,NIX,Nioro,Nioro,Mali
GATB,TOM,Tombouctou,Tombouctou,Mali
GBYD,BJL,Banjul International,Banjul,Gambia
GCFV,FUE,Fuerteventura,Fuerteventura,Canary Islands
GCHI,VDE,Hierro,Hierro,Canary Islands
GCLA,SPC,La Palma,Santa Cruz De La Palma,Spain
GCLP,LPA,Gran Canaria,Gran Canaria,Canary Islands
GCRR,ACE,Lanzarote,Lanzerote,Canary Islands
GCTS,TFS,Tenerife Sur,Tenerife,Canary Islands
GCXO,TFN,Tenerife Norte,Tenerife,Canary Islands
GEML,MLN,Melilla,Melilla,Spanish North Africa
GFHA,HGS,Hastings,Hastings,Sierra Leone
GFLL,FNA,Freetown Lungi,Freetown,Sierra Leone
GGOV,BXO,Bissau Oswaldo Vieira International,Bissau,Guinea Bissau
GLMR,MLW,Monrovia Spriggs Payne,Monrovia,Liberia
GLRB,ROB,Monrovia Roberts International,Monrovia,Liberia
GMAA,AGA,Inezgane,Agadir,Morocco
GMAT,TTA,Plage Blanche,Tan Tan,Morocco
GMFF,FEZ,Saiss,Fez,Morocco
GMFK,ERH,Moulay Ali Cherif,Er-Rachidia,Morocco
GMFM,MEK,Bassatine,Meknes,Morocco
GMFO,OUD,Angads,Oujda,Morocco
GMMC,CAS,Anfa,Casablanca,Morocco
GMME,RBA,Sale,Rabat,Morocco
GMMF,SII,Sidi Ifni,Sidi Ifini,Morocco
GMMN,CMN,Mohammed V,Casablanca,Morocco
GMMX,RAK,Menara,Marrakech,Morocco
GMMY,NNA,Kenitra,Kentira,Morocco
GMMZ,OZZ,Ouarzazate,Ouarzazate,Morocco
GMTA,AHU,Cherif El Idrissi,Al Hociema,Morocco
GMTN,TTU,Saniat Rmel,Tetouan,Morocco
GMTT,TNG,Ibn Batouta,Tanger,Morocco
GOGG,ZIG,Ziguinchor,Ziguinchor,Senegal
GOGK,KDA,Kolda,Kolda,Senegal
GOGS,CSK,Cap Skiring,Cap Skiring,Senegal
GOOK,KLC,Kaolack,Kaolack,Senegal
GOOY,DKR,Leopold Sedar Senghor International,Dakar,Senegal
GOSS,XLS,Saint Louis,St. Louis,Senegal
GOTB,BXE,Bakel,Bakel,Senegal
GOTK,KGG,Kedougou,Kedougou,Senegal
GOTT,TUD,Tambacounda,Tambacounda,Senegal
GQNA,IEO,Aioun El Atrouss,Aioun El Atrouss,Mauritania
GQND,TIY,Tidjikja,Tidjikja,Mauritania
GQNF,KFA,Kiffa,Kiffa,Mauritania
GQNI,EMN,Nema,Nema,Mauritania
GQNK,KED,Kaedi,Kaedi,Mauritania
GQNN,NKC,Nouakchott,Nouakschott,Mauritania
GQNS,SEY,Selibady,Selibabi,Mauritania
GQPA,ATR,Atar,Atar,Mauritania
GQPP,NDB,Nouadhibou,Nouadhibou,Mauritania
GUFA,FIG,Fria,Fira,Guinea
GUFH,FAA,Faranah,Faranah,Guinea
GULB,LEK,Labe,Labe,Guinea
GUMA,MCA,Macenta,Macenta,Guinea
GUNZ,NZE,Nzerekore,N'Zerekore,Guinea
GVAC,SID,Amilcar Cabral International,Amilcar Cabral,Cape Verde Islands
GVBA,BVC,Rabil,Boa Vista,Cape Verde Islands
GVFM,RAI,Francisco Mendes,Francisco Mendez,Cape Verde Islands
GVMA,MMO,Maio,Maio,Cape Verde Islands
GVSN,SNE,Preguica,Sao Nocolau Island,Cape Verde Islands
GVSV,VXE,Sao Pedro,Sao Vicente Island,Cape Verde Islands
HAAB,ADD,Bole International,Addis Ababa,Ethiopia
HABD,BJR,Bahir Dar,Bahar Dar,Ethiopia
HADR,DIR,Aba Tenna Dejazmatch Yilma International,Dire Dawa,Ethiopia
HAGM,GMB,Gambella,Gambella,Ethiopia
HAGN,GDQ,Gonder,Gondar,Ethiopia
HAJM,JIM,Aba Segud,Jimma,Ethiopia
HALL,LLI,Lalibella,Lalibella,Ethiopia
HAMK,MQX,Mekele,Makale,Ethiopia
HBBA,BJM,Bujumbura International,Bujumbura,Burundi
HCMH,HGA,Hargeisa,Hargeisa,Somalia
HCMI,BBO,Berbera,Berbera,Somalia
HCMK,KMU,Kisimayu,Kismayu,Somalia
HCMM,MGQ,Mogadishu,Mogadishu,Somalia
HEAX,ALY,Alexandria International,Alexandria,Egypt
HEBL,ABS,Abu Simbel,Abu Simbel,Egypt
HECA,CAI,Cairo International,Cairo,Egypt
HEGN,HRG,Hurghada International,Hurghada,Egypt
HELX,LXR,Luxor International,Luxor,Egypt
HEMM,MUH,Mersa Matruh,Mersa-Matruh,Egypt
HEPS,PSD,Port Said,Port Said,Egypt
HESC,SKV,St Catherine International,St. Catherine,Egypt
HESN,ASW,Aswan International,Aswan,Egypt
HETR,ELT,El Tor,El-Tor,Egypt
HKEL,EDL,Eldoret International,Eldoret,Kenya
HKGA,GAS,Garissa,Garissa,Kenya
HKKI,KIS,Kisumu,Kisumu,Kenya
HKKT,KTL,Kitale,Kitale,Kenya
HKLO,LOK,Lodwar,Lodwar,Kenya
HKLU,LAU,Lamu Manda,Lamu,Kenya
HKLY,LOY,Loyengalani,Loyangalani,Kenya
HKMA,NDE,Mandera,Mandera,Kenya
HKMB,RBT,Marsabit,Marsabit,Kenya
HKML,MYD,Malindi,Malindi,Kenya
HKMO,MBA,Moi International,Mombasa,Kenya
HKMY,OYL,Moyale Lower,Moyale Lower,Kenya
HKNI,NYE,Nyeri,Nyeri,Kenya
HKNW,WIL,Nairobi Wilson,Nairobi,Kenya
HKNY,NYK,Nanyuki,Nanyuki,Kenya
HKWJ,WJR,Wajir,Wajir,Kenya
HLGT,GHT,Ghat,Ghat,Libya
HLKF,AKF,Kufra,Kufra,Libya
HLLB,BEN,Benina,Benghazi,Libya
HLLS,SEB,Sebha,Sebha,Libya
HLLT,TIP,Tripoli International,Tripoli,Libya
HLTD,LTD,Ghadames East,Ghadames,Libya
HRYG,GYI,Gisenyi,Gisenyi,Rwanda
HRYR,KGL,Kigali International,Kigali,Rwanda
HRZA,KME,Kamembe,Kamembe,Rwanda
HSDN,DOG,Dongola,Dongola,Sudan
HSFS,ELF,El Fasher,El Fasher,Sudan
HSKA,KSL,Kassala,Kassala,Sudan
HSNL,UYL,Nyala,Nyala,Sudan
HSOB,EBD,El Obeid,El Obeid,Sudan
HSSJ,JUB,Juba,Juba,Sudan
HSSM,MAK,Malakal,Malakal,Sudan
HSSP,PZU,Port Sudan,Port Sudan,Sudan
HSSS,KRT,Khartoum,Khartoum,Sudan
HSWW,WUU,Wau,Wau,Sudan
HTAR,ARK,Arusha,Arusha,Tanzania
HTDA,DAR,Dar Es Salaam,Dar Es Salaam,Tanzania
HTDO,DOD,Dodoma,Dodoma,Tanzania
HTIR,IRI,Iringa,Iringa,Tanzania
HTKJ,JRO,Kilimanjaro International,Kilimanjaro,Tanzania
HTMS,QSI,Moshi,Moshi,Tanzania
HTMT,MYW,Mtwara,Mtwara,Tanzania
HTMW,MWZ,Mwanza,Mwanza,Tanzania
HTPE,PMA,Pemba,Pemba,Tanzania
HTTG,TGT,Tanga,Tanga,Tanzania
HTZA,ZNZ,Zanzibar,Zanzibar,Tanzania
HUEN,EBB,Entebbe International,Entebbe,Uganda
HUSO,SRT,Soroti,Soroti,Uganda
KABI,ABI,Abilene Rgnl,Abilene,USA
KACK,ACK,Nantucket Mem,Nantucket,USA
KACT,ACT,Waco Rgnl,Waco,USA
KACY,ACY,Atlantic City International,Atlantic City,USA
KADM,ADM,Ardmore Muni,Ardmore,USA
KADW,ADW,Andrews Afb,Camp Springs,USA
KAEX,AEX,Alexandria International,Alexandria,USA
KAGS,AGS,Augusta Rgnl At Bush Fld,Bush Field,USA
KAKR,AKR,Akron Fulton International,Akron,USA
KALB,ALB,Albany International,Albany,USA
KALI,ALI,Alice International,Alice,USA
KAMA,AMA,Amarillo International,Amarillo,USA
KANB,ANB,Anniston Metropolitan,Anniston,USA
KAND,AND,Anderson Rgnl,Andersen,USA
KAOO,AOO,Altoona Blair Co,Altoona,USA
KAPG,APG,Phillips Aaf,Aberdeen,USA
KARA,ARA,Acadiana Regional,Louisiana,USA
KART,ART,Watertown International,Watertown,USA
KATL,ATL,The William B Hartsfield Atlanta International,Atlanta,USA
KAUG,AUG,Augusta State,Augusta,USA
KAUS,AUS,Austin Bergstrom International,Austin,USA
KBAB,BAB,Beale Afb,Marysville,USA
KBAD,BAD,Barksdale Afb,Shreveport,USA
KBCT,BCT,Boca Raton,Boca Raton,USA
KBDE,BDE,Baudette International,Baudette,USA
KBDL,BDL,Bradley International,Windsor Locks,USA
KBDR,BDR,Igor I Sikorsky Mem,Stratford,USA
KBED,BED,Laurence G Hanscom Fld,Bedford,USA
KBFI,BFI,Boeing Fld King Co International,Seattle,USA
KBFL,BFL,Meadows Fld,Bakersfield,USA
KBFM,BFM,Mobile Downtown,Mobile,USA
KBGR,BGR,Bangor International,Bangor,USA
KBHM,BHM,Birmingham International,Birmingham,USA
KBIF,BIF,Biggs Aaf,El Paso,USA
KBIX,BIX,Keesler Afb,Biloxi,USA
KBKF,BKF,Buckley Afb,Buckley,USA
KBLI,BLI,Bellingham International,Bellingham,USA
KBLV,BLV,Scott Afb Midamerica,Belleville,USA
KBNA,BNA,Nashville International,Nashville,USA
KBOI,BOI,Boise Air Terminal,Boise,USA
KBOS,BOS,General Edward Lawrence Logan International,Boston,USA
KBPT,BPT,Southeast Texas Rgnl,Beaumont,USA
KBRO,BRO,Brownsville South Padre Island International,Brownsville,USA
KBTR,BTR,Baton Rouge Metro Ryan Fld,Baton Rouge,USA
KBTV,BTV,Burlington International,Burlington,USA
KBUF,BUF,Buffalo Niagara International,Buffalo,USA
KBUR,BUR,Burbank Glendale Pasadena,Burbank,USA
KBWI,BWI,Baltimore Washington International,Baltimore,USA
KBYH,BYH,Arkansas International,Blytheville,USA
KBYS,BYS,Bicycle Lake Aaf,Fort Irwin,USA
KCAE,CAE,Columbia Metropolitan,Colombia,USA
KCAR,CAR,Caribou Muni,Caribou,USA
KCBM,CBM,Columbus Afb,Colombus,USA
KCDC,CDC,Cedar City Rgnl,Cedar City,USA
KCDS,CDS,Childress Muni,Childress,USA
KCEF,CEF,Westover Arb Metropolitan,Chicopee Falls,USA
KCEW,CEW,Bob Sikes,Crestview,USA
KCFD,CFD,Coulter Fld,Bryan,USA
KCHA,CHA,Lovell Fld,Chattanooga,USA
KCHS,CHS,Charleston Afb International,Charleston,USA
KCIC,CIC,Chico Muni,Chico,USA
KCLE,CLE,Cleveland Hopkins International,Cleveland,USA
KCLL,CLL,Easterwood Fld,College Station,USA
KCLT,CLT,Charlotte Douglas International,Charlotte,USA
KCMH,CMH,Port Columbus International,Columbus,USA
KCNM,CNM,Cavern City Air Terminal,Carlsbad,USA
KCNW,CNW,Tstc Waco,Waco,USA
KCOF,COF,Patrick Afb,Coco Beach,USA
KCOS,COS,City Of Colorado Springs Muni,Colorado Springs,USA
KCOT,COT,Cotulla La Salle Co,Cotulla,USA
KCOU,COU,Columbia Rgnl,Columbia,USA
KCPR,CPR,Natrona Co International,Casper,USA
KCRP,CRP,Corpus Christi International,Corpus Christi,USA
KCTB,CTB,Cut Bank Muni,Cutbank,USA
KCVG,CVG,Cincinnati Northern Kentucky International,Cincinnati,USA
KCVS,CVS,Cannon Afb,Clovis,USA
KCXL,CXL,Calexico International,Calexico,USA
KCXO,CXO,Montgomery Co,Conroe,USA
KCYS,CYS,Cheyenne,Cheyenne,USA
KDAL,DAL,Dallas Love Fld,Dallas,USA
KDAY,DAY,James M Cox Dayton International,Dayton,USA
KDCA,DCA,Ronald Reagan Washington National,Washington,USA
KDEN,DEN,Denver International,Denver,USA
KDET,DET,Detroit City,Detroit,USA
KDFW,DFW,Dallas Fort Worth International,Dallas-Fort Worth,USA
KDHN,DHN,Dothan Rgnl,Dothan,USA
KDHT,DHT,Dalhart Muni,Dalhart,USA
KDLF,DLF,Laughlin Afb,Del Rio,USA
KDLH,DLH,Duluth International,Duluth,USA
KDMA,DMA,Davis Monthan Afb,Tucson,USA
KDOV,DOV,Dover Afb,Dover,USA
KDPA,DPA,Du Page,West Chicago,USA
KDRI,DRI,Beauregard Parish,Deridder,USA
KDRO,DRO,Durango La Plata Co,Durango,USA
KDRT,DRT,Del Rio International,Del Rio,USA
KDSM,DSM,Des Moines International,Des Moines,USA
KDTW,DTW,Detroit Metro Wayne Co,Detroit,USA
KDUG,DUG,Bisbee Douglas International,Douglas,USA
KDYS,DYS,Dyess Afb,Abilene,USA
KECG,ECG,Elizabeth City Cgas Rgnl,Elizabeth City,USA
KEDW,EDW,Edwards Afb,Edwards Afb,USA
KEFD,EFD,Ellington Fld,Houston,USA
KEGP,EGP,Eagle Pass Muni,Eagle Pass,USA
KEKN,EKN,Elkins Randolph Co Jennings Randolph,Elkins,USA
KELD,ELD,South Arkansas Rgnl At Goodwin Fld,El Dorado,USA
KELP,ELP,El Paso International,El Paso,USA
KEND,END,Vance Afb,Enid,USA
KENV,ENV,Wendover,Wendover,USA
KESF,ESF,Esler Rgnl,Alexandria,USA
KEWN,EWN,Craven Co Rgnl,New Bern,USA
KEWR,EWR,Newark Liberty International,Newark,USA
KEYW,EYW,Key West International,Key West,USA
KFAF,FAF,Felker Aaf,Fort Eustis,USA
KFAT,FAT,Fresno Yosemite International,Fresno,USA
KFCS,FCS,Butts Aaf,Fort Carson,USA
KFFO,FFO,Wright Patterson Afb,Dayton,USA
KFHU,FHU,Sierra Vista Muni Libby Aaf,Fort Huachuca,USA
KFLL,FLL,Fort Lauderdale Hollywood International,Fort Lauderdale,USA
KFLO,FLO,Florence Rgnl,Florence,USA
KFLV,FLV,Sherman Aaf,Fort Leavenworth,USA
KFMH,FMH,Otis Angb,Falmouth,USA
KFMN,FMN,Four Corners Rgnl,Farmington,USA
KFMY,FMY,Page Fld,Fort Myers,USA
KFOD,FOD,Fort Dodge Rgnl,Fort Dodge,USA
KFOE,FOE,Forbes Fld,Topeka,USA
KFOK,FOK,The Francis S Gabreski,West Hampton Beach,USA
KFRI,FRI,Marshall Aaf,Fort Riley,USA
KFSI,FSI,Henry Post Aaf,Fort Sill,USA
KFSM,FSM,Fort Smith Rgnl,Fort Smith,USA
KFTK,FTK,Godman Aaf,Fort Knox,USA
KFTW,FTW,Fort Worth Meacham International,Fort Worth,USA
KFXE,FXE,Fort Lauderdale Executive,Fort Lauderdale,USA
KFYV,FYV,Drake Fld,Fayetteville,USA
KGAG,GAG,Gage,Gage,USA
KGCK,GCK,Garden City Rgnl,Garden City,USA
KGEG,GEG,Spokane International,Spokane,USA
KGFK,GFK,Grand Forks International,Grand Forks,USA
KGGG,GGG,East Texas Rgnl,Longview,USA
KGLS,GLS,Scholes International At Galveston,Galveston,USA
KGNT,GNT,Grants Milan Muni,Grants,USA
KGNV,GNV,Gainesville Rgnl,Gainesville,USA
KGRB,GRB,Austin Straubel International,Green Bay,USA
KGRF,GRF,Gray Aaf,Fort Lewis,USA
KGRK,GRK,Robert Gray Aaf,Killeen,USA
KGRR,GRR,Gerald R Ford International,Grand Rapids,USA
KGSB,GSB,Seymour Johnson Afb,Goldsboro,USA
KGTB,GTB,Wheeler Sack Aaf,Fort Drum,USA
KGTF,GTF,Great Falls International,Great Falls,USA
KGUS,GUS,Grissom Arb,Peru,USA
KGVT,GVT,Majors,Greenvile,USA
KGVW,GVW,Richards Gebaur Memorial,Grandview,USA
KGWO,GWO,Greenwood Leflore,Greenwood,USA
KHBR,HBR,Hobart Muni,Hobart,USA
KHFD,HFD,Hartford Brainard,Hartford,USA
KHHR,HHR,Jack Northrop Fld Hawthorne Muni,Hawthorne,USA
KHIB,HIB,Chisholm Hibbing,Hibbing,USA
KHIF,HIF,Hill Afb,Ogden,USA
KHKY,HKY,Hickory Rgnl,Hickory,USA
KHLN,HLN,Helena Rgnl,Helena,USA
KHLR,HLR,Hood Aaf,Fort Hood,USA
KHMN,HMN,Holloman Afb,Alamogordo,USA
KHOB,HOB,Lea Co Rgnl,Hobbs,USA
KHON,HON,Huron Rgnl,Huron,USA
KHOP,HOP,Campbell Aaf,Hopkinsville,USA
KHOU,HOU,William P Hobby,Houston,USA
KHPN,HPN,Westchester Co,White Plains,USA
KHRL,HRL,Valley International,Harlingen,USA
KHRO,HRO,Boone Co,Harrison,USA
KHRT,HRT,Hurlburt Fld,Mary Esther,USA
KHST,HST,Homestead Arb,Homestead,USA
KHTL,HTL,Roscommon Co,Houghton Lake,USA
KHUA,HUA,Redstone Aaf,Redstone,USA
KHUF,HUF,Terre Haute International Hulman Fld,Terre Haute,USA
KHUL,HUL,Houlton International,Houlton,USA
KHVR,HVR,Havre City Co,Havre,USA
KHWO,HWO,North Perry,Hollywood,USA
KIAB,IAB,Mc Connell Afb,Wichita,USA
KIAD,IAD,Washington Dulles International,Washington,USA
KIAG,IAG,Niagara Falls International,Niagara Falls,USA
KIAH,IAH,George Bush Intcntl Houston,Houston,USA
KICT,ICT,Wichita Mid Continent,Wichita,USA
KIKK,IKK,Greater Kankakee,Kankakee,USA
KIKR,ABQ,Albuquerque International Sunport,Kirtland A.F.B.,USA
KILG,ILG,New Castle Co,Wilmington,USA
KILM,ILM,Wilmington International,Wilmington,USA
KIND,IND,Indianapolis International,Indianapolis,USA
KINK,INK,Winkler Co,Wink,USA
KINL,INL,Falls International,International Falls,USA
KINS,INS,Indian Springs Af Aux,Indian Springs,USA
KINT,INT,Smith Reynolds,Winston-Salem,USA
KIPL,IPL,Imperial Co,Imperial,USA
KIPT,IPT,Williamsport Rgnl,Williamsport,USA
KISN,ISN,Sloulin Fld International,Williston,USA
KISP,ISP,Long Island Mac Arthur,Islip,USA
KJAN,JAN,Jackson International,Jackson,USA
KJAX,JAX,Jacksonville International,Jacksonville,USA
KJBR,JBR,Jonesboro Muni,Jonesboro,USA
KJFK,JFK,John F Kennedy International,New York,USA
KLAN,LAN,Capital City,Lansing,USA
KLAS,LAS,Mc Carran International,Las Vegas,USA
KLAX,LAX,Los Angeles International,Los Angeles,USA
KLBB,LBB,Lubbock International,Lubbock,USA
KLCH,LCH,Lake Charles Rgnl,Lake Charles,USA
KLCK,LCK,Rickenbacker International,Columbus,USA
KLFI,LFI,Langley Afb,Hampton,USA
KLFK,LFK,Angelina Co,Lufkin,USA
KLFT,LFT,Lafayette Rgnl,Lafayette,USA
KLGA,LGA,La Guardia,New York,USA
KLGB,LGB,Long Beach,Long Beach,USA
KLHW,LHW,Wright Aaf,Wright,USA
KLIT,LIT,Adams Fld,Little Rock,USA
KLNA,LNA,Palm Beach Co Park,West Palm Beach,USA
KLNK,LNK,Lincoln Muni,Lincoln,USA
KLOU,LOU,Bowman Fld,Louisville,USA
KLRD,LRD,Laredo International,Laredo,USA
KLRF,LRF,Little Rock Afb,Jacksonville,USA
KLSF,LSF,Lawson Aaf,Fort Benning,USA
